price,expenses,address,size,bedrooms,bathrooms,url,listing_url
Consultar Precio,N/A,"Carlos Pellegrini al 1300
                ",235,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-4,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-6-ambientes--14865046
Consultar Precio,N/A,"Carlos Pellegrini al 1300
                ",235,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-4,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-6-ambientes--14865047
2300000,116276,"Peña 2500
                ",165,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-4,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14436389
Consultar Precio,127000,"Marcelo Torcuato de Alvear 1600
                ",103,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-4,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14908212
1800000,136000,"Uriburu al 1500
                ",170,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-4,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-5-ambientes--14936962
1800000,136000,"Uriburu al 1500
                ",170,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-5,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-5-ambientes--14936963
1400,103000,"Rodriguez Pena al 1400 Alquiler 4 ambientes con dependencia SIN muebles
                ",143,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-5,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14959026
650000,65000,"QUIRNO COSTA 1200, Piso 4
                ",110,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-5,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14962990
550000,61000,"LAS HERAS GRAL AV 1900
                ",74,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-5,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14608821
800000,123000,"AV PUEYRREDON 1400, Piso 4
                ",117,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-5,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14970326
Consultar Precio,N/A,"Beruti 2800
                ",129,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-5,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--14979052
650000,N/A,"Carlos Pellegrini  al 1300
                ",85,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-5,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-3-ambientes--14995843
Consultar Precio,N/A,"Arenales 2600
                ",130,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-5,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--15000236
Consultar Precio,95000,"Quintana y Parera
                ",N/A,3,2,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-5,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-5-ambientes--15006893
Consultar Precio,N/A,"Junín al 1500
                ",160,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-5,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-6-ambientes--15011846
Consultar Precio,N/A,"Junín al 1500
                ",160,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-5,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-6-ambientes--15011847
Consultar Precio,N/A,"MONTEVIDEO 1700
                ",N/A,3,N/A,https://www.argenprop.com/inmuebles/alquiler/capital-federal-o-recoleta/3-dormitorios?pagina-5,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--15011975
