website,price,expenses,address,size,bedrooms,bathrooms,url,listing_url
https://www.zonaprop.com.ar,Consultar precio,$ 250.000,Marta Lynch al 500,178,3,4,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-4.html,https://www.zonaprop.com.ar/propiedades/departamento-en-puerto-madero-52330855.html
https://www.zonaprop.com.ar,$ 1.000,$ 84.636,Cerviño al 3200,130,3,3,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-4.html,https://www.zonaprop.com.ar/propiedades/increible-semipiso-de-4-ambientes-con-dependencia.-52701445.html
https://www.zonaprop.com.ar,Consultar precio,,Mariscal Ramón Castilla  al 3000,600,4,5,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-4.html,https://www.zonaprop.com.ar/propiedades/espectacular-departamento-en-alquiler-palermo-chico-52157967.html
https://www.zonaprop.com.ar,$ 5.000.000,,Chateau Puerto Madero - Julieta Lanteri 1300,176,3,4,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-4.html,https://www.zonaprop.com.ar/propiedades/departamento-de-4-ambientes-amoblado-en-alquiler-52782343.html
https://www.zonaprop.com.ar,Consultar precio,$ 51.000,Arcos al 1800,285,4,3,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-4.html,https://www.zonaprop.com.ar/propiedades/unico-semipiso-de-5-amb-de-285-m-sup2--en-excelentes-52322946.html
https://www.zonaprop.com.ar,Consultar precio,$ 60.000,San Benito de Palermo 1500,125,3,2,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-4.html,https://www.zonaprop.com.ar/propiedades/departamento-belgrano-52559520.html
https://www.zonaprop.com.ar,Consultar precio,$ 1.200.000,Olleros al 2000,611,4,5,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-4.html,https://www.zonaprop.com.ar/propiedades/departamento-belgrano-51117784.html
https://www.zonaprop.com.ar,$ 1.500,$ 75.000,Avda Coronel Diaz al 2400,125,3,2,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-4.html,https://www.zonaprop.com.ar/propiedades/cnel-diaz-y-pena-3-dormit.-4amb-125-m-semi-amobl.-52595174.html
https://www.zonaprop.com.ar,Consultar precio,,Uruguay 115,150,3,2,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-4.html,https://www.zonaprop.com.ar/propiedades/historico-estilo-frances.-52737319.html
https://www.zonaprop.com.ar,$ 2.000.000,$ 120.000,Juncal al 3200,175,3,2,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-4.html,https://www.zonaprop.com.ar/propiedades/departamento-en-torre-de-categoria-con-amenities-y-52507696.html
https://www.zonaprop.com.ar,$ 7.500.000,,Azucena Villaflor al 500,250,3,3,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-4.html,https://www.zonaprop.com.ar/propiedades/4amb-dependencia-a-estrenar-en-alvear-tower-piso-52509695.html
https://www.zonaprop.com.ar,$ 6.000,,Guatemala  al 5500,234,3,3,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-4.html,https://www.zonaprop.com.ar/propiedades/departamento-en-alquiler-a-estrenar-52658974.html
https://www.zonaprop.com.ar,Consultar precio,$ 150.000,Juncal AL 3200,150,3,3,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-4.html,https://www.zonaprop.com.ar/propiedades/departamento-en-torre-3-ambientes.-1-cochera.-vista-al-52500007.html
https://www.zonaprop.com.ar,Consultar precio,$ 180.000,Villanueva 1175,153,3,4,https://www.zonaprop.com.ar/departamentos-alquiler-capital-federal-mas-de-3-habitaciones-a-estrenar-pagina-4.html,https://www.zonaprop.com.ar/propiedades/departamento-en-alquiler-de-3-dorm.-c-2-cocheras-en-51909650.html
